,acchr,dayofweek,accmon,accday,num
8945,18,4,1,19,1
8948,19,1,6,5,1
8950,8,7,5,14,1
8951,7,4,6,8,1
8953,18,5,1,27,1
8960,7,1,8,7,1
8964,14,4,7,20,1
8966,7,1,9,4,1
8972,14,4,9,21,1
8978,2,7,10,1,1
8989,21,7,11,12,1
9002,8,4,2,9,1
9010,9,2,3,21,1
9014,14,7,4,23,1
9016,6,7,4,9,1
9017,7,2,4,18,1
9020,12,5,5,5,1
9031,14,6,7,29,1
9032,9,4,8,3,1
9033,21,3,8,16,1
9034,6,4,8,17,1
9035,15,6,8,19,1
9036,20,7,8,20,1
9037,18,7,8,27,1
9041,17,4,9,14,1
9045,9,5,9,29,1
9046,14,7,4,30,1
9049,21,1,10,23,1
9062,14,7,12,3,1
9077,13,6,1,7,1
9078,3,4,1,19,1
9080,16,7,2,19,1
9083,22,5,3,17,1
9086,20,5,3,31,1
9087,21,2,5,2,1
9089,15,3,5,24,1
9090,9,2,5,30,1
9091,15,3,5,10,1
9093,13,4,6,8,1
9094,14,3,5,24,1
9101,8,6,8,12,1
9105,16,2,9,12,1
9106,14,7,8,27,1
9108,14,3,8,30,1
9111,11,2,9,12,1
9112,8,2,8,22,1
9114,20,6,9,2,1
9115,0,3,8,23,1
9116,6,3,11,1,1
9117,2,5,9,15,1
9118,16,2,11,7,1
9119,16,2,8,15,1
9121,17,7,12,3,1
9123,8,4,12,14,1
9129,5,5,12,15,1
9150,12,5,4,21,1
9168,18,6,9,2,1
9189,14,7,10,15,1
9224,20,2,3,7,1
9228,11,7,3,19,1
9234,15,4,4,6,1
9236,15,6,4,29,1
9239,2,2,5,2,1
9240,17,7,5,21,1
9246,6,6,6,24,1
9248,21,6,7,1,1
9249,13,7,7,2,1
9251,22,2,7,4,1
9253,21,1,7,17,1
9254,22,2,7,18,1
9259,12,4,8,17,1
9261,8,1,8,28,1
9262,11,4,8,31,1
9263,7,5,7,28,1
9266,20,6,9,23,1
9267,20,5,9,29,1
9269,21,5,10,13,1
9283,3,1,12,18,1
9285,7,5,12,22,1
9286,4,6,12,30,1
9298,23,3,3,1,1
9300,20,4,3,16,1
9308,14,7,4,23,1
9310,7,5,5,12,1
9314,8,2,5,30,1
9319,22,6,6,17,1
9322,7,1,5,22,1
9339,18,6,10,7,1
9345,17,4,10,26,1
9348,11,5,11,10,1
9349,20,6,8,12,1
9351,8,5,12,8,1
9360,19,1,5,22,1
9361,11,2,7,11,1
9363,21,6,8,19,1
9364,12,4,8,24,1
9365,12,5,9,15,1
9367,18,1,11,13,1
9371,4,3,1,4,1
9373,15,4,1,19,1
9374,9,6,3,11,1
9375,11,5,4,28,1
9379,19,1,7,10,1
9382,20,2,8,22,1
9387,6,7,12,10,1
9388,2,5,12,29,1
9391,19,7,12,10,1
9394,1,1,6,19,1
9396,18,4,8,3,1
9426,17,5,8,11,1
9451,8,6,7,8,1
9458,14,6,9,23,1
9461,5,7,10,29,1
9498,4,1,4,10,1
9500,13,2,4,11,1
9504,6,2,4,18,1
9514,6,2,6,6,1
9519,7,5,6,23,1
9521,23,5,6,23,1
9527,10,6,7,29,1
9528,17,1,7,10,1
9532,13,1,9,25,1
9535,11,2,9,5,1
9537,13,1,10,2,1
9542,18,1,10,30,1
9544,12,2,11,21,1
9566,18,5,3,17,1
9582,20,1,11,13,1
9606,3,1,1,16,1
9641,6,7,1,1,1
9642,14,3,1,18,1
9644,5,2,1,31,1
9646,23,5,2,17,1
9647,9,3,2,22,1
9649,17,2,5,30,1
9652,11,4,6,15,1
9653,23,1,6,12,1
9657,12,3,9,13,1
9658,18,5,9,8,1
9659,12,1,10,23,1
9661,12,6,10,14,1
9662,14,6,11,4,1
9664,10,6,12,9,1
9674,21,3,8,23,1
9677,12,1,8,21,1
9679,9,5,5,12,1
9682,9,6,2,11,1
9685,6,4,4,6,1
9690,13,2,4,18,1
9692,16,1,4,17,1
9693,6,6,5,13,1
9695,7,2,3,14,1
9696,4,4,4,6,1
9697,23,2,3,28,1
9700,6,2,6,27,1
9703,15,3,7,19,1
9704,8,7,7,23,1
9706,17,5,8,18,1
9707,13,7,8,20,1
9709,7,4,8,31,1
9710,23,7,7,30,1
9711,5,1,9,18,1
9713,16,3,10,25,1
9715,0,4,10,19,1
9720,22,5,12,29,1
9722,20,6,7,15,1
9724,18,1,1,23,1
9730,21,2,3,7,1
9731,4,6,3,18,1
9733,18,5,1,20,1
9736,15,5,4,21,1
9740,18,7,5,28,1
9741,18,6,5,27,1
9742,8,2,5,9,1
9743,18,5,5,5,1
9745,6,5,5,5,1
9746,10,2,5,16,1
9748,21,7,5,7,1
9749,12,6,6,17,1
9750,13,1,6,12,1
9752,9,5,6,30,1
9756,21,5,7,7,1
9757,21,7,7,9,1
9758,20,4,7,13,1
9759,16,6,7,15,1
9764,16,6,7,29,1
9765,10,3,8,16,1
9766,16,5,8,4,1
9771,15,7,9,3,1
9783,17,1,11,13,1
9786,13,1,11,20,1
9798,12,7,1,15,1
9801,7,4,3,2,1
9807,13,5,3,17,1
9818,10,5,5,5,1
9820,10,1,6,19,1
9825,18,7,7,2,1
9826,13,3,7,5,1
9832,17,6,8,12,1
9834,21,6,8,19,1
9836,6,4,8,31,1
9837,16,4,8,31,1
9842,22,1,10,23,1
9844,15,4,10,26,1
9856,20,5,1,13,1
9857,6,6,1,7,1
9859,14,7,1,15,1
9862,18,4,3,9,1
9864,13,3,4,26,1
9866,2,6,5,20,1
9869,20,3,6,21,1
9871,14,6,7,15,1
9875,17,5,7,21,1
9883,15,2,8,15,1
9888,10,7,12,10,1
9899,11,7,6,25,1
9900,99,6,7,29,1
9909,16,4,11,2,1
9911,9,7,12,31,1
9920,14,1,4,3,1
9925,23,3,4,26,1
9929,16,3,5,3,1
9940,12,4,7,6,1
9945,2,1,7,31,1
9946,4,1,8,7,1
9947,12,5,8,4,1
9949,18,5,9,22,1
9950,14,2,9,26,1
9953,12,7,9,3,1
9967,19,1,12,25,1
9971,16,5,1,20,1
9972,9,3,2,8,1
9973,20,3,2,8,1
9974,17,2,2,14,1
9976,19,7,3,19,1
9977,8,2,4,11,1
9978,7,3,5,10,1
9979,16,2,6,20,1
9980,7,6,4,15,1
9981,13,4,7,27,1
9983,21,4,8,17,1
9984,21,1,8,28,1
9985,14,6,9,2,1
9986,9,6,9,2,1
9987,9,6,9,2,1
9988,9,6,9,9,1
9991,15,3,11,8,1
9992,22,7,11,12,1
9993,8,6,11,25,1
9994,18,6,10,7,1
10019,5,5,3,24,1
10029,14,6,4,29,1
10034,14,2,5,30,1
10038,0,1,6,19,1
10040,21,1,7,10,1
10056,12,5,9,29,1
10068,17,4,1,19,1
10069,17,6,1,21,1
10074,2,4,2,23,1
10075,17,4,3,2,1
10076,23,5,3,3,1
10078,18,6,3,11,1
10080,2,2,3,14,1
10082,17,2,3,28,1
10086,22,6,4,15,1
10089,21,6,4,22,1
10090,14,7,5,7,1
10091,18,6,5,13,1
10092,9,1,5,22,1
10096,23,2,6,6,1
10097,0,6,6,10,1
10099,18,5,6,16,1
10101,21,3,6,21,1
10106,17,6,7,15,1
10107,0,7,7,23,1
10108,9,1,7,24,1
10110,21,7,7,2,1
10116,7,6,7,29,1
10117,12,3,8,16,1
10122,9,1,8,21,1
10127,18,5,9,1,1
10130,16,1,9,11,1
10132,18,2,10,3,1
10133,5,3,10,11,1
10134,13,4,10,12,1
10140,18,5,9,15,1
10141,8,2,10,17,1
10144,0,1,11,20,1
10152,17,5,2,17,1
10154,16,3,10,4,1
10155,17,3,8,9,1
10164,16,4,6,29,1
10168,8,5,2,10,1
10172,19,4,5,11,1
10174,12,6,5,27,1
10175,16,3,5,31,1
10176,16,1,5,29,1
10177,19,4,6,8,1
10179,19,5,7,28,1
10183,7,2,8,15,1
10184,15,3,9,6,1
10187,20,2,9,12,1
10189,22,1,10,2,1
10194,14,3,11,8,1
10195,11,2,12,5,1
10196,20,5,12,15,1
10197,5,6,12,30,1
10205,10,7,4,30,1
10207,16,2,5,30,1
10209,20,3,6,21,1
10210,17,7,6,25,1
10211,22,5,7,21,1
10212,13,1,7,24,1
10213,15,5,7,28,1
10214,0,3,8,2,1
10215,5,3,8,9,1
10216,10,4,9,21,1
10217,18,6,9,23,1
10218,15,4,9,7,1
10219,11,5,11,10,1
10221,18,6,12,2,1
10235,17,3,9,20,1
10237,15,3,11,8,1
10245,16,2,2,28,1
10261,19,3,7,19,1
10265,18,3,8,16,1
10266,5,5,8,4,1
10267,17,3,8,16,1
10272,16,7,9,17,1
10275,14,6,9,9,1
10280,3,7,10,8,1
10289,21,5,12,8,1
10291,9,6,2,4,1
10298,15,4,12,7,1
10299,14,6,1,14,1
10301,17,1,1,30,1
10310,18,7,1,29,1
10326,22,6,4,22,1
10331,6,2,5,16,1
10341,10,1,6,19,1
10348,18,3,3,29,1
10354,17,7,7,23,1
10355,9,7,7,30,1
10359,0,4,8,10,1
10361,11,6,8,19,1
10372,12,2,10,3,1
10377,8,2,11,21,1
10392,17,2,5,9,1
10401,13,3,1,25,1
10413,22,1,3,13,1
10415,19,7,3,26,1
10416,12,1,3,27,1
10421,4,5,3,3,1
10423,16,7,4,2,1
10426,0,1,5,1,1
10427,18,7,5,28,1
10428,10,5,5,5,1
10431,21,5,5,5,1
10432,12,4,5,25,1
10435,16,3,2,22,1
10436,9,5,6,2,1
10440,9,5,6,16,1
10441,10,6,7,1,1
10442,20,6,7,1,1
10445,7,4,7,20,1
10446,15,6,7,15,1
10451,12,1,9,18,1
10461,12,2,10,17,1
10464,18,6,10,28,1
10465,15,3,10,11,1
10466,21,5,10,13,1
10470,11,4,11,16,1
10473,10,2,11,28,1
10475,18,4,12,7,1
10478,13,4,12,21,1
10480,7,4,11,9,1
10486,20,2,12,19,1
10487,16,4,12,28,1
10488,12,6,12,30,1
10490,15,7,1,8,1
10496,6,3,2,15,1
10499,9,1,3,13,1
10500,5,2,3,14,1
10502,14,4,3,16,1
10503,10,2,3,21,1
10506,4,6,4,1,1
10507,12,1,4,3,1
10509,18,7,4,9,1
10510,20,5,4,14,1
10513,14,3,5,3,1
10514,11,4,5,4,1
10515,12,4,5,4,1
10516,21,5,5,5,1
10519,23,3,5,24,1
10520,18,7,5,28,1
10521,9,3,5,31,1
10525,16,5,6,2,1
10528,13,5,6,9,1
10532,16,2,6,27,1
10534,15,3,7,5,1
10535,5,3,7,12,1
10536,9,6,7,15,1
10537,12,6,7,15,1
10539,7,6,7,22,1
10540,10,7,7,23,1
10541,15,7,7,30,1
10544,9,5,8,11,1
10545,15,1,8,14,1
10546,8,7,8,20,1
10547,15,6,8,26,1
10548,6,6,9,9,1
10549,10,3,9,20,1
10553,7,4,9,21,1
10554,13,6,9,23,1
10555,16,1,9,25,1
10560,15,3,10,11,1
10562,15,4,10,26,1
10567,7,1,11,13,1
10569,9,5,11,17,1
10572,19,7,12,3,1
10573,15,6,12,16,1
10574,20,7,12,24,1
10576,6,5,12,8,1
10578,8,4,1,5,1
10579,11,4,1,5,1
10582,0,2,1,10,1
10583,0,1,1,9,1
10584,16,2,1,10,1
10585,16,2,1,10,1
10587,19,2,1,10,1
10588,22,2,1,10,1
10589,23,3,1,11,1
10590,17,4,1,12,1
10594,7,7,1,15,1
10595,12,7,1,15,1
10596,17,6,1,14,1
10598,4,6,1,21,1
10599,15,2,1,17,1
10601,14,3,1,25,1
10602,23,3,1,25,1
10603,14,4,1,26,1
10604,18,7,1,22,1
10605,8,6,1,21,1
10606,10,6,1,21,1
10607,10,5,1,27,1
10611,21,2,1,31,1
10612,11,3,2,1,1
10615,7,3,2,8,1
10616,12,4,2,2,1
10617,4,5,2,3,1
10620,22,3,2,8,1
10622,11,1,2,13,1
10624,12,7,1,22,1
10625,19,3,2,1,1
10630,18,5,2,17,1
10633,8,5,2,17,1
10636,15,5,2,17,1
10640,14,3,2,15,1
10643,12,7,2,26,1
10644,0,7,2,5,1
10645,12,2,2,21,1
10646,6,4,2,23,1
10647,14,4,2,23,1
10649,18,5,2,10,1
10650,7,6,2,11,1
10651,9,2,1,10,1
10656,16,2,3,14,1
10657,11,3,3,29,1
10658,7,4,3,30,1
10659,10,4,3,30,1
10660,11,5,3,17,1
10661,3,6,3,18,1
10662,6,6,3,18,1
10668,7,4,3,23,1
10669,18,4,2,23,1
10672,5,5,3,10,1
10673,9,5,3,10,1
10675,12,2,3,14,1
10678,11,1,3,27,1
10680,0,3,4,12,1
10683,13,5,4,14,1
10684,14,4,1,19,1
10685,18,1,1,23,1
10686,15,3,4,12,1
10687,17,3,4,12,1
10689,15,3,4,26,1
10690,11,2,4,25,1
10692,2,6,5,6,1
10694,15,3,5,10,1
10695,4,5,5,12,1
10696,10,1,5,8,1
10698,14,1,5,8,1
10702,8,4,5,4,1
10704,7,4,5,4,1
10705,11,4,4,27,1
10706,14,2,5,23,1
10707,12,3,5,24,1
10708,17,3,5,24,1
10709,2,3,5,24,1
10710,23,4,5,25,1
10711,15,5,5,26,1
10712,15,5,5,26,1
10713,99,1,5,1,1
10714,17,7,5,14,1
10719,11,2,5,30,1
10723,20,2,5,9,1
10724,17,2,6,6,1
10725,15,3,6,7,1
10726,11,4,6,8,1
10728,23,7,6,11,1
10730,5,2,6,6,1
10731,15,6,6,10,1
10732,22,5,6,16,1
10734,9,2,6,13,1
10735,9,4,6,15,1
10736,11,2,5,9,1
10740,10,4,6,29,1
10741,21,4,6,15,1
10742,9,2,6,20,1
10743,23,4,6,22,1
10744,5,6,2,4,1
10745,13,5,4,28,1
10746,8,7,5,21,1
10747,6,3,7,5,1
10749,11,5,7,14,1
10750,16,3,7,19,1
10752,8,2,7,18,1
10753,17,1,6,12,1
10754,0,6,6,17,1
10755,6,5,7,14,1
10757,13,6,8,5,1
10760,1,6,7,1,1
10761,9,2,7,4,1
10762,11,2,7,4,1
10763,14,4,7,6,1
10764,0,5,7,7,1
10765,17,6,7,8,1
10766,6,7,7,9,1
10767,19,1,7,10,1
10768,19,5,4,28,1
10769,14,2,7,4,1
10770,8,1,7,17,1
10772,9,4,8,17,1
10773,14,1,8,7,1
10774,12,6,8,12,1
10775,7,5,8,4,1
10777,15,7,6,18,1
10778,18,1,6,19,1
10779,9,2,6,20,1
10782,18,4,6,22,1
10784,11,5,3,17,1
10786,5,2,8,8,1
10787,14,4,7,13,1
10788,4,1,7,24,1
10789,16,1,7,24,1
10790,1,2,7,25,1
10792,16,5,7,28,1
10793,13,6,7,29,1
10794,13,1,7,31,1
10795,21,3,8,16,1
10796,5,6,8,26,1
10797,20,7,8,27,1
10798,14,3,8,2,1
10799,11,6,4,29,1
10800,0,4,6,15,1
10801,17,6,7,8,1
10804,14,3,7,26,1
10805,21,1,7,31,1
10806,23,2,8,15,1
10807,23,4,8,17,1
10808,19,7,8,20,1
10809,0,3,8,30,1
10810,2,7,8,27,1
10812,14,6,9,2,1
10813,8,6,6,24,1
10814,16,7,8,20,1
10815,4,3,3,8,1
10817,20,7,9,3,1
10818,15,1,8,14,1
10820,5,5,9,8,1
10825,15,2,9,12,1
10827,11,4,9,28,1
10829,9,1,8,14,1
10832,7,4,8,31,1
10833,21,6,9,16,1
10834,21,2,9,19,1
10835,15,7,9,17,1
10837,7,5,9,8,1
10838,15,4,9,21,1
10840,5,5,9,29,1
10843,16,2,10,10,1
10844,19,5,10,13,1
10845,6,3,10,18,1
10846,20,6,10,21,1
10847,21,6,10,21,1
10851,14,2,10,17,1
10853,14,4,9,14,1
10854,13,5,9,15,1
10855,4,6,9,16,1
10856,16,6,9,16,1
10857,8,1,9,18,1
10859,3,2,9,19,1
10860,9,2,9,19,1
10861,15,3,9,20,1
10862,12,5,9,22,1
10863,14,6,9,23,1
10864,22,7,10,1,1
10866,11,6,10,7,1
10867,11,7,10,8,1
10869,7,1,10,9,1
10872,19,6,10,14,1
10876,19,4,11,16,1
10877,5,6,10,21,1
10878,16,7,10,29,1
10879,0,3,8,23,1
10882,14,3,11,8,1
10884,20,4,8,31,1
10885,20,2,9,12,1
10886,9,1,9,18,1
10887,5,2,11,21,1
10888,6,5,11,24,1
10894,21,4,8,3,1
10901,14,3,9,6,1
10904,13,5,11,17,1
10906,0,2,12,5,1
10907,16,3,12,6,1
10908,20,2,10,24,1
10910,1,1,10,30,1
10911,4,1,10,30,1
10912,15,3,11,1,1
10913,11,4,11,2,1
10914,14,6,11,4,1
10915,9,7,11,5,1
10923,7,3,11,8,1
10924,5,6,11,11,1
10925,3,5,11,17,1
10926,11,6,11,18,1
10927,15,7,10,15,1
10929,0,4,12,21,1
10931,11,2,12,26,1
10934,10,2,8,29,1
10935,11,3,12,6,1
10937,9,7,12,10,1
10938,14,7,12,10,1
10941,16,6,12,16,1
10950,19,4,3,9,1
10951,19,7,4,2,1
10952,1,7,10,22,1
10954,1,7,11,26,1
10957,11,3,5,24,1
10958,11,5,12,22,1
10960,7,1,12,25,1
10966,9,1,10,16,1
10975,21,7,12,24,1
10977,21,5,12,8,1
10979,17,3,10,25,1
10981,9,7,10,8,1
10982,6,2,2,28,1
10985,11,6,10,7,1
10987,21,3,8,23,1
11043,11,2,1,24,1
11044,11,1,3,27,1
11045,12,2,4,4,1
11046,13,6,5,13,1
11050,16,2,6,20,1
11054,10,6,8,19,1
11055,15,2,8,22,1
11056,12,2,9,12,1
11064,11,5,3,17,1
11066,16,6,12,2,1
11068,6,2,12,26,1
11070,12,7,3,12,1
11071,6,5,1,27,1
11072,16,5,2,17,1
11073,8,6,5,6,1
11074,17,4,11,30,1
11075,7,2,12,12,1
11078,14,3,1,4,1
11082,1,6,3,4,1
11085,19,6,1,28,1
11087,14,3,2,8,1
11089,19,6,2,18,1
11095,0,6,3,4,1
11099,17,6,4,1,1
11102,15,4,3,9,1
11112,15,2,4,11,1
11113,13,5,4,14,1
11117,16,4,1,12,1
11122,15,2,1,3,1
11128,10,5,4,7,1
11138,21,6,4,29,1
11139,3,6,5,27,1
11140,15,4,4,20,1
11151,12,2,5,23,1
11156,18,6,5,27,1
11158,14,5,6,23,1
11160,10,6,2,18,1
11165,7,3,6,7,1
11169,10,1,6,26,1
11173,7,3,2,8,1
11174,9,5,3,3,1
11180,20,5,6,9,1
11182,9,6,4,22,1
11186,9,1,7,24,1
11187,15,1,7,24,1
11189,15,4,2,2,1
11192,14,3,7,19,1
11206,12,2,8,22,1
11207,7,4,8,24,1
11208,20,1,8,28,1
11212,20,1,8,28,1
11217,9,4,9,7,1
11219,12,7,8,13,1
11221,7,5,9,15,1
11222,14,1,5,1,1
11224,5,5,9,8,1
11225,20,5,9,8,1
11226,20,6,9,16,1
11227,14,5,9,8,1
11228,9,1,9,25,1
11232,21,2,9,19,1
11237,7,6,10,7,1
11250,8,6,11,18,1
11254,18,1,11,13,1
11261,17,4,11,30,1
11263,16,3,11,29,1
11264,16,4,11,30,1
11269,5,4,12,14,1
11270,19,5,12,15,1
11275,9,4,12,14,1
11278,10,5,12,8,1
11281,16,7,12,31,1
11284,19,6,12,30,1
11286,18,2,12,5,1
11288,12,1,10,9,1
11289,9,5,12,8,1
11292,22,4,8,10,1
11293,21,6,5,13,1
11294,18,5,12,8,1
11295,18,2,1,3,1
11296,18,5,1,6,1
11307,18,5,1,6,1
11314,10,1,3,20,1
11317,12,5,3,3,1
11320,13,5,3,24,1
11323,7,3,4,5,1
11326,8,5,4,14,1
11327,11,5,4,21,1
11328,20,7,4,23,1
11330,8,2,4,4,1
11332,10,6,4,15,1
11333,1,2,4,18,1
11343,16,4,5,18,1
11346,8,2,5,9,1
11348,22,7,6,4,1
11350,14,4,6,8,1
11353,10,4,6,22,1
11356,21,2,6,13,1
11358,2,1,6,5,1
11360,12,5,7,21,1
11363,14,4,7,6,1
11364,12,4,7,20,1
11365,16,3,7,26,1
11368,9,6,7,29,1
11369,6,4,8,10,1
11372,10,7,8,13,1
11373,12,3,8,23,1
11381,15,4,8,31,1
11396,19,2,11,14,1
11399,15,5,4,14,1
11403,17,7,6,25,1
11407,13,7,8,27,1
11420,16,2,8,22,1
11421,11,5,6,9,1
11422,16,4,1,26,1
11423,12,1,3,13,1
11424,11,5,3,31,1
11427,5,3,4,12,1
11430,20,3,7,5,1
11431,15,3,8,23,1
11433,12,2,8,29,1
11435,15,2,9,19,1
11437,14,1,10,2,1
11438,18,1,10,2,1
11448,0,2,2,21,1
11453,15,2,3,14,1
11454,7,5,3,17,1
11459,19,6,3,25,1
11465,13,2,1,10,1
11466,12,7,1,1,1
11473,21,6,2,18,1
11476,16,4,1,26,1
11477,20,5,2,17,1
11478,16,2,3,7,1
11479,18,2,2,28,1
11480,14,4,3,23,1
11481,14,5,3,24,1
11483,15,1,3,13,1
11487,9,3,3,22,1
11488,12,5,4,7,1
11492,20,7,2,5,1
11493,22,7,4,16,1
11498,12,3,5,10,1
11500,17,6,5,6,1
11501,8,2,5,16,1
11505,15,4,5,18,1
11508,9,7,5,21,1
11510,12,2,6,13,1
11512,6,5,4,21,1
11514,18,4,6,8,1
11515,13,5,6,30,1
11516,10,6,5,27,1
11517,9,2,7,18,1
11519,10,6,7,8,1
11520,9,3,7,5,1
11522,11,3,7,12,1
11523,20,7,7,9,1
11525,15,1,7,10,1
11527,14,1,7,10,1
11528,23,2,8,1,1
11529,15,1,7,31,1
11530,20,2,7,25,1
11533,9,6,7,15,1
11534,15,1,5,8,1
11535,8,3,7,5,1
11537,6,5,8,4,1
11539,16,6,6,17,1
11541,10,3,6,28,1
11542,12,2,6,13,1
11543,11,5,9,8,1
11544,19,3,7,26,1
11545,9,6,7,8,1
11546,15,2,8,29,1
11549,11,2,9,12,1
11551,21,6,9,2,1
11554,15,4,9,7,1
11555,14,1,8,21,1
11556,5,6,9,16,1
11559,5,4,9,21,1
11560,12,7,9,24,1
11563,17,3,8,16,1
11564,14,7,9,10,1
11565,12,6,9,23,1
11568,10,2,9,12,1
11569,11,2,10,17,1
11571,16,5,10,20,1
11573,6,2,10,31,1
11574,8,3,10,11,1
11576,12,7,11,5,1
11580,11,7,10,29,1
11581,23,6,11,11,1
11582,14,2,10,17,1
11583,18,2,10,31,1
11584,10,5,12,1,1
11586,22,4,10,26,1
11588,18,3,11,29,1
11590,7,3,10,11,1
11591,18,7,11,19,1
11592,11,3,12,6,1
11595,7,6,11,25,1
11596,21,7,12,10,1
11598,14,7,12,10,1
11600,5,3,12,13,1
11602,11,3,12,13,1
11604,9,2,10,24,1
11606,22,6,12,23,1
11607,19,7,9,24,1
11608,15,4,12,21,1
11615,1,5,1,13,1
11627,17,2,3,28,1
11641,16,4,6,1,1
11649,23,3,6,7,1
11660,14,7,7,2,1
11676,14,6,8,5,1
11682,10,5,8,11,1
11726,21,2,4,11,1
11733,7,5,9,8,1
11784,14,6,1,21,1
11789,14,6,2,4,1
11790,15,4,2,9,1
11795,4,5,2,17,1
11800,19,6,3,11,1
11806,13,3,4,5,1
11807,15,4,4,6,1
11809,16,4,4,13,1
11810,9,1,4,17,1
11811,12,2,4,18,1
11814,16,4,4,20,1
11815,12,5,4,21,1
11817,8,6,4,29,1
11818,10,3,4,26,1
11819,14,4,5,4,1
11820,21,6,5,6,1
11825,18,7,5,21,1
11826,8,1,5,29,1
11827,18,4,6,1,1
11830,13,5,6,16,1
11831,22,3,6,7,1
11832,20,6,6,24,1
11837,22,4,7,13,1
11838,14,6,7,15,1
11839,3,1,7,24,1
11842,10,3,8,2,1
11845,6,1,8,21,1
11846,17,6,8,26,1
11847,18,1,8,28,1
11848,17,4,8,24,1
11849,15,6,8,5,1
11851,9,6,9,2,1
11853,11,2,9,5,1
11855,15,3,9,13,1
11858,7,2,9,26,1
11859,13,3,8,30,1
11862,7,2,10,3,1
11863,20,3,10,4,1
11866,12,1,10,9,1
11868,14,1,10,16,1
11869,15,1,10,23,1
11870,8,3,10,25,1
11873,18,4,11,2,1
11875,17,6,11,18,1
11879,21,7,12,3,1
11883,9,5,12,8,1
11885,13,1,12,11,1
11887,14,1,12,25,1
11890,23,1,1,23,1
11923,12,3,6,28,1
11928,8,2,7,4,1
11933,10,6,8,19,1
11937,20,5,8,4,1
11941,14,3,7,12,1
11950,12,7,10,1,1
11957,7,5,11,10,1
11965,10,4,12,7,1
11969,10,6,12,2,1
11973,8,1,12,18,1
11975,10,6,12,30,1
11979,22,7,8,20,1
11981,20,7,10,15,1
11983,21,2,1,3,1
11992,16,2,5,30,1
11996,16,5,7,28,1
12006,18,1,9,18,1
12008,16,5,10,6,1
12009,15,6,10,28,1
12010,18,5,12,1,1
12011,10,2,11,14,1
12017,5,2,1,24,1
12019,10,3,1,25,1
12022,8,1,1,9,1
12024,11,6,3,25,1
12026,13,7,2,19,1
12027,9,4,4,20,1
12028,14,6,4,29,1
12030,10,4,6,1,1
12036,12,7,7,9,1
12041,9,3,8,2,1
12043,19,7,6,11,1
12047,23,5,8,4,1
12049,16,2,8,8,1
12050,12,6,8,26,1
12052,11,7,10,1,1
12056,7,7,9,10,1
12063,9,4,11,30,1
12065,2,6,11,25,1
12068,6,6,12,9,1
12072,16,4,12,28,1
12074,15,7,7,16,1
12077,6,4,2,23,1
12078,16,3,6,7,1
12081,20,5,4,28,1
12082,0,1,7,10,1
12084,8,4,4,27,1
12087,0,2,10,10,1
12088,19,1,7,17,1
12089,14,4,8,10,1
12090,13,3,5,24,1
12091,8,5,8,4,1
12092,0,7,7,23,1
12093,16,5,6,30,1
12094,8,2,8,1,1
12097,18,3,10,11,1
12099,17,5,4,14,1
12102,13,7,12,24,1
12104,5,2,3,21,1
12105,11,3,5,31,1
12106,18,5,4,7,1
12107,22,6,10,21,1
12146,15,1,4,10,1
12152,6,2,5,9,1
12197,19,7,9,17,1
12243,19,2,7,4,1
12247,9,3,7,19,1
12249,15,4,7,20,1
12250,19,5,7,21,1
12254,13,2,8,22,1
12256,14,7,9,3,1
12257,20,7,9,3,1
12265,8,6,9,30,1
12266,8,2,10,3,1
12270,13,6,10,21,1
12273,8,7,10,29,1
12274,6,6,11,4,1
12275,7,7,11,12,1
12276,10,7,11,12,1
12283,18,6,12,16,1
12291,23,6,1,7,1
12331,14,2,1,3,1
12332,18,2,1,3,1
12336,10,6,1,14,1
12339,19,3,1,4,1
12345,16,2,3,7,1
12347,13,3,3,1,1
12350,14,2,3,28,1
12356,21,2,4,4,1
12357,10,6,4,8,1
12359,13,4,4,20,1
12360,10,5,4,21,1
12361,21,7,4,9,1
12362,16,6,3,18,1
12365,11,4,3,2,1
12366,14,6,3,11,1
12369,10,2,5,16,1
12371,13,1,5,1,1
12375,11,7,5,21,1
12377,11,4,5,4,1
12378,12,2,5,30,1
12380,10,5,6,9,1
12385,18,7,6,25,1
12386,14,2,7,11,1
12388,12,5,7,7,1
12390,10,7,7,23,1
12393,10,3,7,12,1
12394,13,3,4,19,1
12397,0,6,8,12,1
12399,13,6,8,26,1
12401,12,7,9,3,1
12405,7,2,8,29,1
12409,13,7,10,8,1
12415,15,6,10,21,1
12419,15,2,9,26,1
12421,3,1,10,23,1
12423,13,1,10,23,1
12427,12,7,11,12,1
12430,9,4,11,16,1
12431,20,3,10,4,1
12433,2,1,11,20,1
12438,23,7,11,12,1
12441,15,6,12,16,1
12446,9,7,10,8,1
12455,6,7,6,4,1
12509,11,7,8,6,1
12521,19,4,9,28,1
12572,10,7,5,14,1
12574,9,7,5,28,1
12576,18,6,6,10,1
12578,15,3,6,21,1
12707,12,2,1,3,1
12708,14,5,1,13,1
12709,11,6,1,14,1
12712,18,6,2,18,1
12715,5,5,3,24,1
12716,12,5,3,31,1
12719,12,4,4,6,1
12722,10,2,4,18,1
12723,9,1,5,8,1
12724,15,6,5,13,1
12725,0,5,5,19,1
12726,17,4,3,16,1
12727,2,6,5,27,1
12729,13,2,6,20,1
12731,11,2,6,13,1
12732,14,5,6,30,1
12733,19,7,7,16,1
12735,20,5,7,14,1
